排名,日期,代码,名称,单位净值,累计净值,增长值,增长率%6,
1,2011/8/23,150031,银华中证90鑫利,0.706,0.706,0.024,3.52%,历史净值/走势图
2,2011/8/23,150023,申万深指分级进取,0.607,0.607,0.018,3.06%,历史净值/走势图
3,2011/8/23,150013,国联安中证100B,0.916,0.916,0.025,2.81%,历史净值/走势图
4,2011/8/23,150017,兴业合润分级B,1.0587,1.0587,0.0277,2.69%,历史净值/走势图
5,2011/8/23,150001,国投瑞福进取,0.545,0.77,0.014,2.64%,历史净值/走势图
6,2011/8/23,150029,信诚中证500B,0.821,0.821,0.021,2.63%,历史净值/走势图
7,2011/8/23,375010,上投中国优势,2.1432,5.2132,0.0539,2.58%,历史净值/走势图
8,2011/8/23,150019,银华锐进,1.079,1.079,0.025,2.37%,历史净值/走势图
9,2011/8/23,510230,国泰金融ETF,2.95,0.838,0.06,2.08%,历史净值/走势图
10,2011/8/23,180013,银华领先策略,1.2995,1.6795,0.0264,2.07%,历史净值/走势图
11,2011/8/23,20021,国泰金融ETF联接,0.86,0.86,0.017,2.02%,历史净值/走势图
12,2011/8/23,217019,招商深证TMT50联,0.929,0.929,0.018,1.98%,历史净值/走势图
13,2011/8/23,161606,融通行业景气,0.837,2.777,0.016,1.95%,历史净值/走势图
14,2011/8/23,410009,华富量子生命力,0.9288,0.9288,0.0176,1.93%,历史净值/走势图
15,2011/8/23,260111,景顺公司治理,1.162,1.51,0.022,1.93%,历史净值/走势图
16,2011/8/23,510030,华宝上180ETF,2.353,0.805,0.044,1.91%,历史净值/走势图
17,2011/8/23,240016,华宝上180ETF联接,0.874,0.904,0.016,1.86%,历史净值/走势图
18,2011/8/23,510090,建信责任ETF,0.877,1.046,0.016,1.86%,历史净值/走势图
19,2011/8/23,161211,国投金融地产,0.769,0.769,0.014,1.85%,历史净值/走势图
20,2011/8/23,213008,宝盈资源优选,1.0829,1.3628,0.0197,1.85%,历史净值/走势图
21,2011/8/23,310398,申万沪深300,0.776,0.776,0.014,1.84%,历史净值/走势图
22,2011/8/23,200008,长城品牌优选,0.7212,0.7212,0.013,1.84%,历史净值/走势图
