代码,名称,涨跌幅,最新价,涨跌额,买入价,卖出价,成交量,成交额,今开盘,昨收盘,最高价,最低价,关注,股票吧
sh600000,浦发银行,0.98%,9.270,0.09,9.27,9.28,225708.34,20888.06,9.21,9.18,9.34,9.17,关注,股票吧
sh600004,白云机场,0.28%,7.140,0.02,7.13,7.14,5404.64,385.8,7.15,7.12,7.16,7.11,关注,股票吧
sh600005,武钢股份,0.28%,3.550,0.01,3.54,3.55,44433.72,1577.09,3.56,3.54,3.56,3.53,关注,股票吧
sh600006,东风汽车,1.01%,4.010,0.04,4,4.01,10626,426.57,3.99,3.97,4.03,3.98,关注,股票吧
sh600007,中国国贸,0.77%,9.160,0.07,9.15,9.17,2478.46,227.32,9.07,9.09,9.25,9.07,关注,股票吧
sh600008,首创股份,0.00%,5.330,0,5.32,5.33,14474.17,769.81,5.36,5.33,5.36,5.3,关注,股票吧
sh600009,上海机场,0.56%,12.530,0.07,12.53,12.55,6429.62,807.02,12.56,12.46,12.6,12.5,关注,股票吧
sh600010,包钢股份,-0.87%,6.800,-0.06,6.8,6.81,247380.48,16909.59,6.85,6.86,6.92,6.76,关注,股票吧
sh600011,华能国际,-0.43%,4.580,-0.02,4.57,4.58,8934.8,409.88,4.62,4.6,4.63,4.56,关注,股票吧
sh600012,皖通高速,-0.21%,4.790,-0.01,4.78,4.79,4518.9,217.02,4.81,4.8,4.83,4.78,关注,股票吧
sh600015,华夏银行,0.09%,10.720,0.01,10.7,10.71,60253.12,6456.97,10.69,10.71,10.77,10.65,关注,股票吧
sh600016,民生银行,0.35%,5.790,0.02,5.79,5.8,464565.65,26912.98,5.79,5.77,5.82,5.76,关注,股票吧
sh600017,日照港,0.00%,0.000,0,0,0,0,0,0,3.58,0,0,关注,股票吧
sh600018,上港集团,0.00%,3.450,0,3.45,3.46,16405.06,565.82,3.45,3.45,3.47,3.44,关注,股票吧
sh600019,宝钢股份,0.76%,5.280,0.04,5.27,5.28,65249.41,3436.77,5.25,5.24,5.29,5.25,关注,股票吧
sh600020,中原高速,0.33%,3.000,0.01,3,3.01,3327.66,99.97,2.99,2.99,3.02,2.99,关注,股票吧
sh600021,上海电力,-0.95%,5.200,-0.05,5.2,5.22,20256.98,1055.98,5.23,5.25,5.27,5.18,关注,股票吧
sh600022,济南钢铁,0.53%,3.800,0.02,3.79,3.8,53090.89,2021.72,3.79,3.78,3.84,3.78,关注,股票吧
sh600026,中海发展,0.14%,7.150,0.01,7.14,7.15,11871,852.46,7.23,7.14,7.23,7.15,关注,股票吧
sh600027,华电国际,0.33%,3.030,0.01,3.02,3.03,12997.69,392.65,3.02,3.02,3.03,3,关注,股票吧
sh600028,中国石化,-0.56%,7.110,-0.04,7.11,7.12,45690.91,3255.1,7.16,7.15,7.16,7.1,关注,股票吧
sh600029,南方航空,1.03%,7.880,0.08,7.87,7.88,41212.57,3249.21,7.84,7.8,7.93,7.81,关注,股票吧
sh600030,中信证券,-0.08%,12.230,-0.01,12.22,12.23,106091.05,12991.25,12.27,12.24,12.29,12.19,关注,股票吧
sh600031,三一重工,0.55%,16.380,0.09,16.37,16.38,71845.59,11785.9,16.42,16.29,16.5,16.3,关注,股票吧
sh600033,福建高速,0.34%,2.980,0.01,2.98,2.99,9206.22,274.55,2.97,2.97,2.99,2.97,关注,股票吧
sh600035,楚天高速,0.24%,4.250,0.01,4.25,4.26,5159.84,219.56,4.26,4.24,4.27,4.24,关注,股票吧
sh600036,招商银行,0.93%,11.880,0.11,11.87,11.88,106930.78,12691.53,11.83,11.77,11.93,11.78,关注,股票吧
sh600037,歌华有线,0.21%,9.450,0.02,9.44,9.45,6220.56,590.18,9.5,9.43,9.52,9.45,关注,股票吧
sh600038,哈飞股份,0.92%,25.230,0.23,25.23,25.24,2440.07,615.17,25.2,25,25.33,25.09,关注,股票吧
sh600039,四川路桥,0.77%,9.190,0.07,9.18,9.19,7193.11,659.54,9.1,9.12,9.21,9.1,关注,股票吧
sh600048,保利地产,0.83%,10.950,0.09,10.95,10.96,58496.84,6418.26,10.9,10.86,11.05,10.89,关注,股票吧
sh600050,中国联通,0.66%,4.590,0.03,4.58,4.59,130570.81,5985.98,4.58,4.56,4.61,4.56,关注,股票吧
sh600051,宁波联合,0.90%,13.450,0.12,13.45,13.46,15252.4,2053.68,13.4,13.33,13.52,13.4,关注,股票吧
sh600052,浙江广厦,0.49%,4.070,0.02,4.06,4.07,5355.63,217.96,4.05,4.05,4.09,4.04,关注,股票吧
sh600053,中江地产,-0.44%,9.010,-0.04,9.03,9.04,10584.6,955.22,9.08,9.05,9.11,8.91,关注,股票吧
sh600054,黄山旅游,1.33%,18.260,0.24,18.24,18.26,9308.07,1683.38,18.04,18.02,18.27,17.94,关注,股票吧
sh600055,万东医疗,0.85%,15.450,0.13,15.43,15.45,2940.15,452.78,15.35,15.32,15.49,15.32,关注,股票吧
sh600056,中国医药,0.04%,25.800,0.01,25.8,25.85,2561.5,662.74,25.93,25.79,26,25.8,关注,股票吧
sh600058,五矿发展,0.79%,28.140,0.22,28.14,28.15,16951.45,4771.12,28.15,27.92,28.27,28.01,关注,股票吧
sh600059,古越龙山,0.62%,13.030,0.08,13.03,13.04,22676.09,2955.5,13.03,12.95,13.1,12.96,关注,股票吧
sh600060,海信电器,-0.87%,13.690,-0.12,13.69,13.7,67189.43,9213.49,13.72,13.81,13.81,13.6,关注,股票吧
sh600061,中纺投资,0.62%,9.690,0.06,9.68,9.69,3715.82,360.53,9.68,9.63,9.75,9.65,关注,股票吧
sh600062,双鹤药业,0.65%,24.730,0.16,24.72,24.73,5367.06,1324.25,24.61,24.57,24.81,24.54,关注,股票吧
sh600063,皖维高新,-0.22%,13.550,-0.03,13.55,13.57,19148.5,2606.54,13.68,13.58,13.7,13.54,关注,股票吧
sh600064,南京高科,0.33%,12.130,0.04,12.13,12.14,6205.56,753.6,12.16,12.09,12.19,12.1,关注,股票吧
sh600066,宇通客车,0.48%,20.860,0.1,20.86,20.87,4361.14,910.75,20.88,20.76,20.96,20.82,关注,股票吧
sh600067,冠城大通,0.63%,8.050,0.05,8.05,8.06,17225.19,1390.56,8.06,8,8.1,8.02,关注,股票吧
sh600068,葛洲坝,2.82%,9.840,0.27,9.84,9.85,128379.62,12579.66,9.6,9.57,9.96,9.6,关注,股票吧
sh600069,银鸽投资,0.82%,8.620,0.07,8.62,8.64,21332.42,1840.31,8.6,8.55,8.7,8.57,关注,股票吧
sh600070,浙江富润,0.92%,10.980,0.1,10.98,10.99,15354.99,1694.85,10.92,10.88,11.15,10.91,关注,股票吧
sh600071,凤凰光学,1.28%,10.260,0.13,10.25,10.26,4962.28,505.77,10.15,10.13,10.29,10.05,关注,股票吧
sh600072,中船股份,2.53%,25.100,0.62,25.1,25.11,40272.05,10051.79,24.68,24.48,25.2,24.54,关注,股票吧
sh600073,上海梅林,0.10%,10.460,0.01,10.46,10.47,4206.25,440.08,10.47,10.45,10.51,10.42,关注,股票吧
sh600074,*ST中达,0.00%,5.670,0,5.66,5.67,12260.55,694.43,5.72,5.67,5.72,5.63,关注,股票吧
sh600075,新疆天业,0.70%,12.960,0.09,12.96,12.97,43731.85,5606.3,12.89,12.87,12.98,12.72,关注,股票吧
sh600076,ST华光,-1.74%,6.220,-0.11,6.22,6.23,14152.47,887.86,6.37,6.33,6.37,6.2,关注,股票吧
sh600077,ST百科,0.37%,10.930,0.04,10.93,10.94,5172.93,564.1,10.87,10.89,10.98,10.81,关注,股票吧
sh600078,澄星股份,-0.70%,11.370,-0.08,11.37,11.38,109485.3,12487.54,11.48,11.45,11.55,11.31,关注,股票吧
sh600079,人福医药,0.34%,23.270,0.08,23.27,23.34,2985.11,697.17,23.2,23.19,23.44,23.2,关注,股票吧
sh600080,ST金花,0.42%,7.130,0.03,7.12,7.13,4109.5,292.86,7.1,7.1,7.16,7.1,关注,股票吧
sh600081,东风科技,0.87%,9.290,0.08,9.28,9.29,2974,275.77,9.25,9.21,9.33,9.23,关注,股票吧
sh600082,海泰发展,0.36%,5.550,0.02,5.55,5.56,8489.01,470.9,5.56,5.53,5.58,5.53,关注,股票吧
sh600083,*ST博信,-0.27%,7.470,-0.02,7.47,7.49,1162,87.18,7.49,7.49,7.53,7.47,关注,股票吧
